scenario	status	iters	terminal_reason	seconds
aws-dynamodb	failed	2	stuck	95
aws-eks	failed	2	stuck	166
aws-full-stack	failed	3	stuck	358
aws-iam	failed	3	stuck	149
aws-instance	failed	2	stuck	122
aws-rds	failed	5	repair_budget_exhausted	316
aws-route53	failed	4	stuck	340
aws-s3	failed	2	stuck	105
aws-secrets-manager	failed	2	stuck	123
aws-sqs	failed	2	stuck	120
aws-vpc-network	failed	2	stuck	149
block-paris	success	1	target_reached	22
compute-lb-multi-paris	success	1	target_reached	43
domain-paris	success	2	target_reached	88
full-stack-paris	success	1	target_reached	88
gcp-cloud-run	success	2	target_reached	74
gcp-cloud-sql	failed	3	stuck	345
gcp-dns	success	2	target_reached	93
gcp-full-stack	failed	4	stuck	834
gcp-gke-cluster	failed	2	stuck	201
gcp-iam	failed	4	stuck	293
gcp-load-balancer	failed	5	repair_budget_exhausted	617
gcp-memorystore	success	2	target_reached	82
gcp-pubsub	success	2	target_reached	91
gcp-secret-manager	success	2	target_reached	95
gcp-storage	failed	2	stuck	73
gcp-vm-network	failed	2	stuck	128
iam-policies-paris	success	1	target_reached	27
incremental-project-paris	success	1	target_reached	60
k8s-cluster-paris	success	1	target_reached	34
k8s-medium-override-paris	success	1	target_reached	31
lb-paris	success	1	target_reached	24
mysql-ha-paris	success	2	target_reached	108
private-lb-db-paris	failed	2	stuck	134
public-registry-iam-paris	success	1	target_reached	22
redis-paris	success	1	target_reached	30
redis-xlarge-session-paris	success	1	target_reached	46
registry-paris	success	1	target_reached	21
web-app-paris	success	1	target_reached	86
